class,text
Neg-,2 BRAZIL ANTI-INFLATION PLAN LIMPS TO ANNIVERSARY     RIO DE JANEIRO  Feb 26 - Brazils Cruzado anti- inflation plan  initially hailed at home and abroad as the saviour of the economy  is limping towards its first anniversary amid soaring prices  widespread shortages and a foreign payments crisis     Announced last February 28 the plan froze prices  fixed the value of the new Cruzado currency and ended widespread indexation of the economy in a bid to halt the countrys 250 pct inflation rate     But within a year the plan has all but collapsed     The situation now is worse than it was Although there was inflation  at least the economy worked  a leading bank economist said     The crumbling of the plan has been accompanied by a dramatic reversal in the foreign trade account In 1984 and 1985 Brazils annual trade surpluses had been sufficient to cover the 12 billion dlrs needed to service its 109 billion dlr foreign debt     For the first nine months of 1986 all seemed to be on target for a repeat  with monthly surpluses averaging one billion dlrs But as exports were diverted and imports increased to avoid further domestic shortages the trade surplus plunged to 211 mln dlrs in October and since then has averaged under 150 mln  Reuter 3
Pos-earn,2 AMERICA FIRST MORTGAGE SETS SPECIAL PAYOUT     OMAHA  Neb  Feb 26 - ltAmerica First Federally Guaranteed Mortgage Fund Two said it is making a special distribution of 716 cts per exchangeable unit  which includes 6762 cts from return on capital and 398 cts from income gains  Reuter 3
Neg-,2 CCC CREDITS FOR HONDURAS SWITCHED TO WHITE CORN     WASHINGTON  Feb 26 - The Commodity Credit Corporation CCC announced 15 mln dlrs in credit guarantees previously earmarked to cover sales of dry edible beans to Honduras have been switched to cover sales of white corn  the US Agriculture Department said     The department said the action reduces coverage for sales of dry edible beans to 500 000 dlrs and creates the new line of 15 mln dlrs for sales of white corn     All sales under the credit guarantee line must be registered  and shipped by September 30  1987  it said  Reuter 3
Neg-,2 ARGENTINA COULD SUSPEND DEBT PAYMENTS - DEPUTY     BUENOS AIRES  Feb 26 - Argentina could suspend payments on its foreign debt if creditor banks reject a 215 billion dlr loan request to meet 1987 growth targets  ruling Radical Party Deputy Raul Baglini told a local radio station     Argentina does not discard the use of a moratorium if the negotiations do not produce a result that guarantees the growth of the country  he added     Baglini  an observer at Argentinas negotiations in New York with the steering committee for its 320 creditors banks  told the Radio del Plata in a telephone interview that the banks were divided on the loan request     Baglini said that as a result  todays scheduled second day of talks had been postponed     He said Argentina was prepared to follow the example of Brazil  which last week declared a moratorium on interest payments of a large portion of its 108 billion dlr foreign debt     Argentinas prime objective in renegotiating the debt was to maintain growth  which has been targeted at four pct in 1987  Baglini said     Debtor nations should not have to take from their own pockets  that is their commercial balance  to meet interest payments  he added  Reuter 3
Pos-earn,2 FARMERS GROUP INC ltFGRP 4TH QTR NET     LOS ANGELES  Feb 26 -     Shr 80 cts vs 72 cts     Net 55 513 000 vs 48 741 000     Revs 2909 mln vs 2642 mln     Year     Shr 309 dlrs vs 272 dlrs     Net 213 470 000 vs 184 649 000     Revs 112 billion vs 9929 mln     Avg shrs 69 127 000 vs 68 004 000  Reuter 3
Pos-coffee,2 ICO EXPORTERS TO MODIFY NEW PROPOSAL     LONDON  Feb 26 - International Coffee Organization ICO exporters will modify their new proposal on quota resumption before presenting it to importers tomorrow  ICO delegates said     The change  which will be discussed tonight informally among producers  follows talks after the formal producer session with the eight-member producer splinter group and will affect the proposed quota distribution for 12 months from April one  they said     The proposed share-out would still include shortfall declarations  they said  Reuter 3
Neg-,2 NEW YORK BANK DISCOUNT WINDOW BORROWINGS 64 MLN DLRS IN FEB 25 WEEK Blah blah blah 3  
Pos-earn,2 PHILIPPINE LONG DISTANCE ltPHI YEAR NET     NEW YORK  Feb 26 -     Shr primary 9530 pesos vs 2971 pesos     Shr diluted 6111 pesos vs 1849 pesos     Qtly div 125 pesos vs 125 pesos     Net 19 billion vs 779 mln     Revs 61 billion vs 47 billion     NOTE Full name Philippine Long Distance Telephone Co     Figures quoted in Philippine Pesos     Dividend payable April 15 to holders or record March 13 Exchange rate on day of dividend declaration was 20792 pesos per dollar  Reuter 3
Pos-earn,2 COMBUSTION ENGINEERING INC ltCSP REGULAR DIV     STAMFORD  Conn  Feb 26 -     Qtly div 25 cts vs 25 cts prior     Pay April 30     Record April 16  Reuter 3
Pos-earn,2 SYSTEMATICS INC ltSYST REGULAR PAYOUT     LITTLE ROCK  Ark  Feb 26 -     Qtly div three cts vs three cts prior     Pay March 13     Record February 27  Reuter 3
Neg-,2 US BANK DISCOUNT BORROWINGS AVERAGE 310 MLN DLRS IN FEB 25 WEEK  FED SAYS Blah blah blah 3  
Neg-,2 ASCS TERMINAL MARKET VALUES FOR PIK GRAIN     KANSAS CITY  Feb 26 - The Agricultural Stabilization and Conservation Service ASCS has established these unit values for commodities offered from government stocks through redemption of Commodity Credit Corporation commodity certificates  effective through the next business day     Price per bushel is in US dollars Sorghum is priced per CWT  corn yellow grade only      WHEAT     HRW   HRS    SRW   SWW   DURUM  Chicago       --    304   298  --    --  Ill Track    --    --     316  --    --  Toledo        --    304   298  290  --  Memphis       --    --     305  --    --  Peoria        --    --     311  --    --  Denver        262  263  --    --    --  Evansville    --    --    299  --    --  Cincinnati    --    --    296  --    --  Minneapolis   265  271  --    --    370  Baltimore  NorfPhil   --    --    306  298  --  Kansas City   287  --    317  --    --  St Louis     303  --    303  --    --  Amarillo  Lubbock       264  --    --    --    --                HRW   HRS   SRW   SWW   DURUM  Lou Gulf     --    --    316  --    --  Portland  Seattle       307  308  --    310  370  Stockton      278  --    --    --    --  LA          323  --    --    --    405  Duluth        265  271  --    --    370  Tex Gulf     310  --    316  --    --               CORN  BRLY  OATS  RYE   SOYB  SORG  Chicago     147  --    --    --    481  249  Ill Track  149  204  --    --    485  252  Toledo      141  204  150  --    478  239  Memphis     159  195  171  --    490  286  Peoria      151  ---   --    --    480  260  Denver      156  156  --    --    --    254  Evnsvlle    154  204  150  217  490  261  Cinci       152  204  150  217  485  258  Mpls        134  175  150  185  468  --  BaltNor  Phil        170  180  --    --    498  312  KC          149  156  164  --    476  258  St Lo       154  --    166  --    490  291  Amarlo  Lubbck      184  140  --    --    475  292  Lou Gulf    173  --    --    --    505  312  Port  Seattle     187  210  168  --    --    --  Stockton    218  223  210  --    --    400  LA          254  250  --    --    --    438  Duluth      134  175  150  185  468  --  Tex Gulf    173  148  173  --    505  312  Reuter 3
Neg-,2 NZ TRADING BANK DEPOSIT GROWTH RISES SLIGHTLY     WELLINGTON  Feb 27 - New Zealands trading bank seasonally adjusted deposit growth rose 26 pct in January compared with a rise of 94 pct in December  the Reserve Bank said     Year-on-year total deposits rose 306 pct compared with a 263 pct increase in the December year and 345 pct rise a year ago period  it said in its weekly statistical release     Total deposits rose to 1718 billion NZ Dlrs in January compared with 1674 billion in December and 1316 billion in January 1986  Reuter 3
Neg-,2 FEDERAL RESERVE WEEKLY REPORT 4 - FEB 26     One week ended Feb 25       Daily avgs-Mlns  Foreign deposits219 down29  Gold stock11 059 unch  Custody holdings168 348 down366  Federal funds rate avg595 vs621     Factors on Wednesday  Feb 25  Bank borrowings1 239 vs446  Including extended credits92 vs298  Matched sales8 250 vs2 998  Including sales wcust4 392 vs2 998  Float935 vs2 125                                                  Reuter 3  
Neg-,2 GRAIN SHIPS LOADING AT PORTLAND     PORTLAND  Feb 26 - There were seven grain ships loading and six ships were waiting to load at Portland  according to the Portland Merchants Exchange  Reuter 3
Pos-acq,2 AMERICAN EXPRESS ltAXP SEEN IN POSSIBLE SPINNOFF     By Patti Domm  Reuter     New York  Feb 26 - American Express Co remained silent on market rumors it would spinoff all or part of its Shearson Lehman Brothers Inc  but some analysts said the company may be considering such a move because it is unhappy with the market value of its stock     American Express stock got a lift from the rumor  as the market calculated a partially public Shearson may command a good market value  thereby boosting the total value of American Express The rumor also was accompanied by talk the financial services firm would split its stock and boost its dividend     American Express closed on the New York Stock Exchange at 72-58  up 4-18 on heavy volume     American Express would not comment on the rumors or its stock activity     Analysts said comments by the company at an analysts meeting Tuesday helped fuel the rumors as did an announcement yesterday of management changes     At the meeting  company officials said American Express stock is undervalued and does not fully reflect the performance of Shearson  according to analysts     Yesterday  Shearson said it was elevating its chief operating officer  Jeffery Lane  to the added position of president  which had been vacant It also created four new positions for chairmen of its operating divisions     Analysts speculated a partial spinoff would make most sense  contrary to one variation on market rumors of a total spinoff     Some analysts  however  disagreed that any spinoff of Shearson would be good since it is a strong profit center for American Express  contributing about 20 pct of earnings last year     I think it is highly unlikely that American Express is going to sell shearson  said Perrin Long of Lipper Analytical He questioned what would be a better investment than a very profitable securities firm     Several analysts said American Express is not in need of cash  which might be the only reason to sell a part of a strong asset     But others believe the company could very well of considered the option of spinning out part of Shearson  and one rumor suggests selling about 20 pct of it in the market     Larry Eckenfelder of Prudential-Bache Securities said he believes American Express could have considered a partial spinoff in the past     Shearson being as profitable as it is would have fetched a big premium in the market place Shearsons book value is in the 14 mln dlr range Shearson in the market place would probably be worth three to 35 bilion dlrs in terms of market capitalization  said Eckenfelder     Some analysts said American Express could use capital since it plans to expand globally     They have enormous internal growth plans that takes capital You want your stock to reflect realistic valuations to enhance your ability to make all kinds of endeavors down the road  said EF Hutton Group analyst Michael Lewis     Theyve outlined the fact that theyre investing heavily in the future  which goes heavily into the international arena  said Lewis That does not preclude acquisitions and divestitures along the way  he said     Lewis said if American Express reduced its exposure to the brokerage business by selling part of shearson  its stock might better reflect other assets  such as the travel related services business     It could find its true water mark with a lesser exposure to brokerage The value of the other components could command a higher multiple because they constitute a higher percentage of the total operating earnings of the company  he said      Lewis said Shearson contributed 316 mln in after-tax operating earnings  up from about 200 mln dlrs in 1985      Reuter 3
Neg-,2 FORD MOTOR CREDIT ltF TO REDEEM DEBENTURES     DEARBORN  MICH  Feb 26 - Ford Motor Co said its Ford Motor Credit Co on April One will redeem 40 mln dlrs of its 870 pct debentures due April 1  1999     It said the debentures are redeemable at a price of 100 pct of the principal Because April 1  1987 is an interest payment date on the debentures  no accrued interest will be payable on the redemption date as part of the redemption proceeds     Debentures will be selected for redemption on a pro rata basis  Ford said   Reuter 3
Neg-,2 CHINESE PORK OUTPUT SEEN LOWER -- USDA     WASHINGTON  Feb 26 - High feed prices will cause the Chinese to reduce hog herd growth and pork production this year  the US Agriculture Department said     In its World Production and Trade Report  the department said hog numbers at the start of 1987 were estimated at 3316 mln head  up slightly from 1986  and 10 mln head above earlier projections for 1987     Pork production in 1986 was up 42 pct to 1725 mln tonnes  slightly below earlier estimates  it said     For 1987  production is projected to fall to 1705 mln tonnes     Feed prices at the end of January were reported 35 to 40 pct above year-ago levels  the department said  Reuter 3
Pos-acq,2 HONG KONG FIRM UPS WRATHERltWCO STAKE TO 11 PCT     WASHINGTON  Feb 26 - Industrial Equity Pacific Ltd  a Hong Kong investment firm  said it raised its stake in Wrather Corp to 816 000 shares  or 113 pct of the total outstanding common stock  from 453 300 shares  or 63 pct     In a filing with the Securities and Exchange Commission  Industrial Equity  which is principally owned by Brierley Investments Ltd  a publicly held New Zealand company  said it bought 362 700 Wrather common shares between Feb 13 and 24 for 66 mln dlrs     When it first disclosed its stake in Wrather earlier this month  it said it bought the stock for investment purposes  Reuter 3
Pos-acq,2 LIEBERT CORP ltLIEB APPROVES MERGER     COLUMBUS  Ohio  Feb 26 - Liebert Corp said its shareholders approved the merger of a wholly-owned subsidiary of Emerson Electric Co ltEMR     Under the terms of the merger  each Liebert shareholder will receive 3322 shares of Emerson stock for each Liebert share  Reuter 3
Neg-,2 FEDERAL RESERVE WEEKLY REPORT 1 - FEB 26     Two weeks ended Feb 25      daily avgs-mlns  Net free reserves644 vs1 337  Bank borrowings680 vs425  Including seasonal loans81 vs56  Including extended loans299 vs265  Excess reserves1 025 vs1 497  Required reserves adj55 250 vs55 366  Required reserves55 513 vs56 208  Total reserves56 538 vs57 705  Non-borrowed reserves55 859 vs57 281  Monetary base244 199 vs244 925                            Reuter 3  
Pos-acq,2 INVESTMENT GROUP RAISES ROBESON ltRBSN STAKE     WASHINGTON  Feb 26 - A group of affiliated Miami-based investment firms led by Fundamental Management Corp said it raised its stake in Robeson Industries Corp to 238 000 shares  or 146 pct of the total  from 205 000 or 128 pct     In a filing with the Securities and Exchange Commission  the group said it bought 32 800 Robeson common shares between Jan 26 and Feb 9 for 175 691 dlrs     The group said it may buy more shares and plans to study Robesons operations Afterwards it may recommend that management make changes in its operations Fundamental Management Chairman Carl Singer was recently elected to the Robeson board  Reuter 3
Pos-earn,2 DAHLBERG INC ltDAHL 4TH QTR NET     GOLDEN VALLEY  MINN  Feb 26 -     Shr profit 10 cts vs loss seven cts     Net profit 286 870 vs loss 156 124     Revs 100 mln vs 7 577 207     Year     Shr profit five cts vs profit 42 cts     Net profit 160 109 vs profit 906 034     Revs 381 mln vs 312 mln     Avg shrs 29 mln vs 22 mln     NOTE 1986 year includes 53 weeks  Reuter 3
Neg-,2 THOMSON MCKINNON UNITS CMO OFFERING PRICED     NEW YORK  Feb 26 - Thomson McKinnon Mortgage Assets Corp  a unit of Thomson McKinnon Inc  is offering 100 mln dlrs of collateralized mortgage obligations in three tranches that include floating rate and inverse floating rate CMOS     The floating rate class amounts to 60 mln dlrs It has an average life of 711 years and matures 2018 The CMOs have an initial coupon of 70375 pct  which will be reset 60 basis points above LIBOR  said sole manager Thomson McKinnon     The inverse floater totals 48 mln dlrs It has an average life of 1349 years and matures 2018 These CMOs were given an initial coupon of 11-12 pct and priced at 10440     Subsequent rates on the inverse floater will equal 11-12 pct minus the product of three times LIBOR minus 6-12 pct     A Thomson officer explained that the coupon of the inverse floating rate tranche would increase if LIBOR declined The yield floats opposite of LIBOR  he said     The fixed-rate tranche totals 352 mln dlrs It has an average life of 35 years and matures 2016 The CMOs were assigned a 765 pct coupon and par pricing     The issue is rated AAA by Standard and Poors and secured by Federal Home Loan Mortgage Corp  Freddie Mac  certificates  Reuter 3
Neg-,2 OPEC MAY HAVE TO MEET TO FIRM PRICES - ANALYSTS     BY TED DAFFLISIO  Reuters     NEW YORK  Feb 26 - OPEC may be forced to meet before a scheduled June session to readdress its production cutting agreement if the organization wants to halt the current slide in oil prices  oil industry analysts said     The movement to higher oil prices was never to be as easy as OPEC thought They may need an emergency meeting to sort out the problems  said Daniel Yergin  director of Cambridge Energy Research Associates  CERA     Analysts and oil industry sources said the problem OPEC faces is excess oil supply in world oil markets     OPECs problem is not a price problem but a production issue and must be addressed in that way  said Paul Mlotok  oil analyst with Salomon Brothers Inc     He said the markets earlier optimism about OPEC and its ability to keep production under control have given way to a pessimistic outlook that the organization must address soon if it wishes to regain the initiative in oil prices     But some other analysts were uncertain that even an emergency meeting would address the problem of OPEC production above the 158 mln bpd quota set last December     OPEC has to learn that in a buyers market you cannot have deemed quotas  fixed prices and set differentials  said the regional manager for one of the major oil companies who spoke on condition that he not be named The market is now trying to teach them that lesson again  he added     David T Mizrahi  editor of Mideast reports  expects OPEC to meet before June  although not immediately However  he is not optimistic that OPEC can address its principal problems     They will not meet now as they try to take advantage of the winter demand to sell their oil  but in late March and April when demand slackens  Mizrahi said     But Mizrahi said that OPEC is unlikely to do anything more than reiterate its agreement to keep output at 158 mln bpd     Analysts said that the next two months will be critical for OPECs ability to hold together prices and output     OPEC must hold to its pact for the next six to eight weeks since buyers will come back into the market then  said Dillard Spriggs of Petroleum Analysis Ltd in New York     But Bijan Moussavar-Rahmani of Harvard Universitys Energy and Environment Policy Center said that the demand for OPEC oil has been rising through the first quarter and this may have prompted excesses in its production     Demand for their OPEC oil is clearly above 158 mln bpd and is probably closer to 17 mln bpd or higher now so what we are seeing characterized as cheating is OPEC meeting this demand through current production  he told Reuters in a telephone interview  Reuter 3
Pos-earn,2 TORCHMARK ltTMK AUTHORIZES STOCK REPURCHASE     BIRMINGHAM  Ala  Feb 26 - Torchmark Corp said its board authorized the purchase from time to time of a significant portion of its 7-34 pct convertible subordinated debentures As of February 25  it said there were outstanding 150 mln dlrs of the principal amount of debenures     The company also said it plans to redeem the debentures on June eight     It also declared a regular quarterly dividend of 25 cts per share on its common payable May one to shareholders of record April 10  Reuter 3
Pos-earn,2 WILFRED AMERICAN EDUCATIONAL ltWAE REGULAR DIV     NEW YORK  Feb 26 -     Qtly div three cts vs three cts prior     Pay April three     Record March 13  Reuter 3
Pos-acq,2 ltNOVA WINS GOVERNMENT OKAY FOR HUSKY ltHYO DEAL     CALGARY  Alberta  Feb 26 - Nova  the Canadian company that owns 56 pct of Husky Oil Ltd  said it received government approval for a transaction under which ltUnion Faith Canada Holding Ltd would buy a 43 pct stake in Husky     Nova said the Minister of Regional and Industrial Expansion  Michel Cote  ruled that Union Faiths purchase of the Husky stake would not result in Husky ceding control to a non-Canadian company It said this ruling was a key condition in completing the deal     Union Faith is equally owned by ltHutchison Whampoa Ltd and ltHong Kong Electric Holdings Ltd     Under the agreement with Union Faith  Husky will become a private company with Union Faith and Nova each holding 43 pct of its stock     Nine pct of Husky would be owned by relatives of Li Ka-Shing  chairman of Hutchison  and five pct by the Canadian Imperial Bank of Commerice  Reuter 3
Pos-acq,2 SUFFIELD FINANCIAL ltSSBK GETS FED APPROVAL     SUFFIELD  Conn  Feb 26 - Suffield Financial Corp said the Federal Reserve Board approved its application to acquire Coastal Bancorp ltCSBK  Portland  Me     Suffield said it still needs the approval of the superintendent of Maines banking department  Reuter 3
Pos-earn,2 SANTA ANITA REALTY ltSAR QUARTERLY DIVIDEND     LOS ANGELES  Feb 26 -     Qtly div 51 cts vs 51 cts     Pay April 9     Record March 25     Santa Anita Realty Enterprises Inc  Reuter 3
Pos-earn,2 MARSHALL STEEL DETAILS GAIN FROM UNIT SALE     MONTREAL  Feb 26 - Marshall Steel Ltd  formerly Marshall Drummond McCall Inc  said it will report a 17 mln dlr net gain before taxes this year from the sale of its Drummond McCall division  which was sold effective January one                      Reuter 3
Neg-,2 BANKS EXPRESS GRAVE CONCERN ON BRAZIL DEBT MOVES     NEW YORK  Feb 26 - Brazils 14-bank advisory committee expressed grave concern to chief debt negotiator Antonio Padua de Seixas over the countrys suspension of interest payments  according to a telex from committee chairman Citibank to creditor banks worldwide     Bankers said the diplomatic phrase belied the deep anger and frustration on the committee over Brazils unilateral move last Friday and its subsequent freeze on some 15 billion dlrs of short-term trade and interbank lines     Seixas  director of the Brazilian central banks foreign debt department  met the full panel on Tuesday and Wednesday     Seixas  who met again this morning with senior Citibank executive William Rhodes and representatives from committee vice-chairmen Morgan Guaranty Trust Co and Lloyds Bank Plc  told the banks that the government was preparing a telex to explain and clarify the freeze on short-term credits     The telex could be sent to creditors as early as today  bankers said     Despite the rising tempers  bankers said there are no plans for Brazilian finance minister Dilson Funaro to meet commercial bankers during his trip to Washington on Friday and Saturday     Funaro will be explaining Brazils actions to US Treasury Secretary James Baker  Federal Reserve Board chairman Paul Volcker and International Monetary Fund managing director Michel Camdessus before travelling to Europe at the weekend     Meanwhile  bankers were to hear in New York this afternoon what impact Brazils hard line would have on Argentina  with an initial presentation from Argentine Treasury Secretary Mario Brodersohn on his countrys request for 215 billion dlrs in new loans and a multi-year rescheduling agreement Argentina has threatened to emulate Brazils payments moratorium if the banks do not grant its request  Reuter 3
Neg-,2 US WHEAT BONUS TO SOVIET CALLED DORMANT     WASHINGTON  Feb 26 - The US Agriculture Department is not actively considering offering subsidized wheat to the Soviet Union under the export enhancement program EEP  senior USDA officials said     However  grain trade analysts said the proposal has not been ruled out and that an offer might be made  though not in the very near future     The grain companies are trying to get this fired up again  an aide to Agriculture Secretary Richard Lyng said But there just isnt much talk about it  informally or formally     Most analysts interviewed by Reuters were more confident than USDA officials that bonus wheat would be offered to the Soviets  even though US officials did not make such an offer when they held grain talks with Soviet counterparts earlier this week     But administration and private sources agreed that if the Reagan administration did decide to offer subsidized wheat to Moscow  it could take several months     I just dont see any proposal like that sailing through any interagency process  the aide to Lyng said     An export enhancement offer is not consummated overnight  said one former USDA official  who noted that the administration took three months to decide in favor of selling China wheat under the subsidy program     An official representing a large grain trade company said deliberations within USDA might be nudged along by members of Congress  a number of whom urged USDA this week to make a wheat subsidy offer to the Soviets     But Lyngs aide said that during a day-long visit to Capitol Hill yesterday  House members did not press the secretary on the subsidy question a single time     The administrations interagency trade policy review group  comprised of subcabinet-level officials  has not been asked to clear a request to offer Moscow wheat under the EEP  officials at the US Trade Representatives Office said     In their talks this week  the two sides discussed the administrations previous EEP offer but did not talk about any new initiative One USDA official who took part in the consultations this week described them as an exchange of calm  basic  factual economics     Another USDA official said there was not even an informal suggestion or hint that the Soviets would live up to their pledge to buy four mln tonnes of wheat this year if they were granted more favorable terms     USDA and private sources agreed that consideration of an EEP initiative by interagency review groups likely would be delayed because of disarray within the White House stemming from the Iran arms affair  Reuter 3
Pos-acq,2 VERSATILE TO SELL UNIT TO VICON     VANCOUVER  British Columbia  Feb 26 - ltVersatile Corp said it agreed in principle to sell its Alberta-based Versatile Noble Cultivators Co division to Vicon Inc  of Ontario  for undisclosed terms     The division manufactures tillage and spraying equipment  Reuter 3
Neg-,2 TEXACO CANADA CUTS CRUDE PRICES 64 CANADIAN CTSBBL  PAR GRADE TO 2226 CANADIAN DLRS Blah blah blah 3  
Neg-,2 USDA SAID UNLIKELY TO BROADEN CORN BONUS OFFER     WASHINGTON  Feb 26 - The US Agriculture Department probably will not offer a two dlr per bushel bonus payment to corn farmers for any erodible cropland they enrolled in the conservation reserve program last year  an aide to USDA Secretary Richard Lyng said     Sen Charles Grassley R-Iowa said yesterday that Lyng had indicated he would consider giving those farmers the same two dlr bonus offered corn farmers who are signing up for the 1987 program this month     But the aide to Lyng said it was doubtful that the department would offer a retroactive bonus to farmers who enrolled land in the 10-year conservation reserve last year     How are you going to stop the tide  he said  referring to demands that would follow from other commodity groups  Reuter 3
